files,language,blank,comment,code,"github.com/AlDanial/cloc v 2.00  T=17.03 s (462.4 files/s 279716.2 lines/s)"
4306,Pascal,353661,345169,2081619
1013,XML,30456,15962,552488
877,PO File,199362,204005,466169
87,make,50,260,326808
412,C++,16472,3961,66195
527,C/C++ Header,3536,5192,27007
284,Text,2541,0,24816
18,HTML,106,9,6548
39,SVG,6,38,5349
36,PHP,493,453,4269
1,Gencat NLS,28,0,4205
89,Bourne Shell,700,805,3208
51,Fortran 77,322,0,2675
2,ProGuard,45,33,1389
8,CSS,312,162,1089
1,Java,93,134,609
73,DOS Batch,209,260,606
3,Delphi Form,0,0,553
8,Markdown,144,0,486
8,INI,6,17,383
3,Perl,64,57,300
1,YAML,36,1,295
2,SQL,47,67,187
1,XSLT,19,4,183
12,Windows Resource File,33,31,176
2,JSON,0,0,175
1,ReScript,0,0,113
1,Dockerfile,4,12,90
2,diff,1,55,48
1,Puppet,1,0,14
1,Ant,18,56,11
1,AutoHotkey,4,9,6
1,C,1,0,4
3,Properties,6,30,2
7875,SUM,608776,576782,3578075
